PFA5,
X,Y
0.0048 , 143.4803
0.0316 , 156.8635
0.0437 , 159.7930
0.0559 , 161.9731
0.0681 , 163.7345
0.0803 , 164.9669
0.0925 , 166.0010
0.1046 , 166.7265
0.1168 , 167.4300
0.1290 , 167.9351
0.1412 , 168.4622
0.1534 , 168.8131
0.1655 , 169.2962
0.1777 , 170.0658
0.1897 , 170.4750
0.2021 , 172.2000
0.2143 , 173.0357
0.2264 , 173.4747
0.2386 , 173.4950
0.2508 , 173.5152
0.2630 , 173.6879
0.2752 , 173.6880
0.2873 , 174.0388
0.2995 , 174.4117
0.3117 , 174.7552
0.3239 , 175.0483
0.3361 , 175.3981
0.3482 , 175.6387
0.3604 , 176.0116
0.3723 , 176.0662
0.3848 , 176.5150
0.3970 , 176.7336
0.4091 , 177.0624
0.4212 , 176.8861
0.4335 , 177.6098
0.4457 , 177.7623
0.4579 , 178.1131
0.4701 , 178.0878
0.4822 , 178.6825
0.4941 , 178.7926
0.5066 , 179.2520
0.5190 , 179.1395
0.5310 , 179.6010
0.5431 , 179.8197
0.5553 , 179.9721
0.5675 , 180.4017
0.5797 , 180.6077
0.5919 , 180.8704
0.6040 , 181.1110
0.6162 , 181.4524
0.6284 , 181.7025
0.6406 , 181.9211
0.6528 , 182.3160
0.6654 , 182.4286
0.6771 , 182.8855
0.6893 , 183.2804
0.7015 , 183.7635
0.7137 , 184.2130
0.7259 , 184.6415
0.7380 , 185.1907
0.7502 , 185.7840
0.7624 , 186.1923
0.7746 , 186.8383
0.7868 , 187.3655
0.7989 , 188.1078
0.8111 , 188.5864
0.8233 , 189.3657
0.8355 , 190.0692
0.8484 , 190.4165
0.8598 , 191.4320
0.8720 , 192.2016
0.8842 , 193.0594
0.8966 , 193.4041
0.9086 , 194.2900
0.9207 , 194.9714
0.9329 , 195.4766
0.9451 , 195.9156
0.9567 , 196.2055
0.0200 , 153.2913
0.0102 , 148.2882
