CA1,
X,Y
0.0095 , 60.9756
0.0285 , 73.2932
0.0634 , 84.1370
0.0893 , 89.3208
0.1128 , 93.3388
0.1410 , 96.2001
0.1573 , 98.3813
0.1782 , 100.7346
0.1976 , 102.9199
0.2177 , 104.2755
0.2466 , 105.3106
0.2675 , 107.8300
0.3169 , 110.7196
0.3473 , 111.0922
0.3674 , 113.2784
0.4176 , 115.5045
0.4487 , 117.3732
0.4673 , 117.8963
0.5171 , 120.4541
0.5669 , 122.8458
0.6166 , 126.2342
0.6657 , 129.7877
0.7154 , 134.3389
0.7553 , 138.8770
0.7865 , 143.0712
0.8161 , 147.9279
0.8370 , 151.6101
0.8564 , 155.9548
0.8761 , 160.3000
0.9054 , 166.3190
0.9225 , 169.1656
0.9426 , 172.0163
0.9525 , 174.1889
0.9616 , 174.8654
0.9719 , 175.5435
0.9821 , 176.3877
0.9996 , 178.5704
