PFA2-2,
X,Y
0.0114 , 94.6990
0.0258 , 98.2066
0.0346 , 99.7132
0.0418 , 100.8856
0.0532 , 102.2296
0.0650 , 103.0759
0.0775 , 104.2553
0.0885 , 105.1005
0.1007 , 105.9472
0.1398 , 106.9959
0.1687 , 108.0310
0.1983 , 108.9009
0.2276 , 109.6043
0.2819 , 110.6731
0.3324 , 111.2386
0.3818 , 111.3043
0.4320 , 112.3676
0.4825 , 112.6009
0.5323 , 112.9992
0.5821 , 113.3976
0.6322 , 113.4642
0.6824 , 113.8631
0.7321 , 114.0954
0.7819 , 114.4937
0.8324 , 114.7270
0.8815 , 114.7921
0.9316 , 115.1910
0.9810 , 115.7550
