C7K4T-700stC,
X,Y
0.0097 , 265.1294
0.0284 , 291.7198
0.0557 , 316.3227
0.0777 , 326.9686
0.1030 , 338.2811
0.1250 , 346.2691
0.1477 , 352.9287
0.1677 , 356.9287
0.1897 , 360.9300
0.2103 , 365.5949
0.2557 , 371.6051
0.3103 , 376.2926
0.3516 , 381.6356
0.4049 , 382.9999
0.4529 , 387.0185
0.5042 , 387.0526
0.5522 , 391.0712
0.6028 , 392.4337
0.6534 , 395.1252
0.7061 , 397.8180
0.7560 , 399.8445
0.8047 , 402.5347
0.8233 , 403.2115
0.8526 , 405.2243
0.8786 , 405.9061
0.9026 , 407.2509
0.9293 , 409.9264
0.9532 , 411.9357
0.9786 , 417.2681
0.9919 , 425.9149
