SK4T-600stC,
X,Y
0.0095 , 151.7007
0.0320 , 170.0680
0.0627 , 184.3537
0.0783 , 191.1565
0.1022 , 198.6395
0.1240 , 204.0816
0.1437 , 208.1633
0.1649 , 212.2449
0.1846 , 215.6463
0.2078 , 219.0476
0.2527 , 223.1293
0.3106 , 227.8912
0.3522 , 229.2517
0.4046 , 231.9728
0.4503 , 231.9728
0.5027 , 235.3741
0.5511 , 236.7347
0.6035 , 236.0544
0.6533 , 237.4150
0.7023 , 238.7755
0.7514 , 240.1361
0.7997 , 241.4966
0.8222 , 241.4966
0.8542 , 242.8571
0.8774 , 243.5374
0.9060 , 246.2585
0.9278 , 245.5782
0.9523 , 248.2993
0.9741 , 253.0612
0.9877 , 256.4626
