C7K4T-800stC,
X,Y
0.0092 , 395.3616
0.0306 , 443.8808
0.0579 , 488.4172
0.0840 , 520.9927
0.0986 , 536.9493
0.1227 , 558.8921
0.1427 , 575.5167
0.1640 , 591.4777
0.1840 , 605.4445
0.2067 , 619.4131
0.2514 , 644.0275
0.3147 , 667.9898
0.3480 , 677.3143
0.4040 , 688.6472
0.4533 , 695.3244
0.5019 , 700.6724
0.5532 , 704.0287
0.6025 , 708.0482
0.6525 , 712.0681
0.7038 , 713.4311
0.7525 , 717.4501
0.8024 , 720.1411
0.8244 , 722.1491
0.8537 , 721.5041
0.8777 , 724.8423
0.9024 , 727.5165
0.9277 , 729.5267
0.9530 , 732.2013
0.9770 , 737.5329
0.9930 , 744.8525
