C7K4T-930stC,
X,Y
0.0115 , 148.8515
0.0275 , 164.1445
0.0615 , 184.1007
0.0782 , 191.4207
0.1009 , 202.0670
0.1215 , 209.3897
0.1422 , 216.7124
0.1622 , 222.0413
0.1822 , 227.3702
0.2035 , 234.6934
0.2488 , 247.3481
0.3108 , 260.0138
0.3508 , 268.0138
0.4028 , 276.6862
0.4514 , 286.0209
0.5021 , 293.3635
0.5520 , 300.0412
0.6020 , 306.7189
0.6546 , 311.4051
0.7040 , 316.7535
0.7526 , 320.1080
0.8012 , 322.7982
0.8239 , 324.1421
0.8545 , 326.8203
0.8765 , 329.4927
0.9038 , 331.5042
0.9272 , 332.8486
0.9545 , 336.1890
0.9791 , 340.1921
0.9918 , 345.5161
