SK4T-500stC,
X,Y
0.0095 , 80.2721
0.0334 , 91.8367
0.0674 , 99.3197
0.0783 , 100.6803
0.1049 , 102.0408
0.1247 , 103.4014
0.1437 , 104.7619
0.1621 , 104.7619
0.1839 , 105.4422
0.2030 , 108.1633
0.2561 , 108.8435
0.3079 , 110.8844
0.3549 , 112.2449
0.4005 , 114.2857
0.4544 , 114.9660
0.5034 , 117.6871
0.5545 , 119.0476
0.6042 , 119.0476
0.6533 , 120.4082
0.7037 , 121.7687
0.7534 , 123.1293
0.8025 , 127.2109
0.8195 , 127.2109
0.8529 , 128.5714
0.8787 , 131.9728
0.9019 , 133.3333
0.9271 , 136.7347
0.9530 , 142.1769
0.9741 , 148.9796
0.9864 , 156.4626
0.9946 , 163.9456
0.9932 , 172.7891
