AC2,
X,Y
0.0245 , 148.2012
0.0365 , 153.5021
0.0537 , 159.2154
0.0744 , 162.2635
0.0947 , 164.1541
0.1150 , 165.6622
0.1353 , 166.7426
0.1556 , 168.0481
0.5081 , 178.1768
0.5282 , 178.9173
0.5487 , 179.5273
0.5690 , 179.7073
0.5893 , 180.0225
0.6096 , 180.2025
0.6299 , 180.4951
0.6502 , 180.6752
0.6705 , 180.9903
0.6894 , 181.1979
0.7112 , 181.6205
0.7315 , 181.9131
0.7508 , 182.1112
0.7776 , 182.7459
0.7979 , 183.0386
0.8196 , 183.6153
0.8385 , 183.9614
0.8594 , 184.5128
0.8789 , 185.2309
0.8985 , 186.1965
0.9201 , 187.7315
0.9859 , 200.9447
0.9728 , 197.7058
0.9668 , 193.1174
0.9326 , 188.7989
0.0161 , 144.8043
0.0080 , 141.2955
0.2213 , 169.6356
0.1781 , 167.7463
0.4668 , 177.4629
0.4286 , 176.1134
0.3873 , 175.5735
0.3441 , 174.2240
0.3038 , 173.4143
0.2616 , 171.5250
