AC1,
X,Y
0.0161 , 115.5424
0.0310 , 118.8188
0.0467 , 122.7390
0.0670 , 124.8998
0.0873 , 127.3757
0.1076 , 128.3886
0.1279 , 129.6265
0.1482 , 130.3243
0.1685 , 130.9320
0.1888 , 131.8098
0.2091 , 132.3275
0.2294 , 133.0928
0.2500 , 132.5018
0.2700 , 133.8356
0.2903 , 134.1282
0.3106 , 135.0510
0.3311 , 135.5725
0.3512 , 137.4144
0.3715 , 137.6057
0.3918 , 137.6507
0.4121 , 138.7093
0.4324 , 138.3682
0.4528 , 139.4176
0.4731 , 139.0350
0.4954 , 139.4823
0.5130 , 139.7918
0.5340 , 140.2054
0.5543 , 140.4980
0.5746 , 140.8581
0.5930 , 141.0607
0.6170 , 141.5784
0.6383 , 142.7938
0.6576 , 142.5417
0.6779 , 143.8142
0.6982 , 143.1765
0.7185 , 143.2890
0.7388 , 143.3565
0.7591 , 143.9643
0.7805 , 144.0593
0.7991 , 144.8674
0.8201 , 144.9321
0.8404 , 146.1026
0.8601 , 145.9878
0.8810 , 147.1942
0.9013 , 147.7457
0.9419 , 149.7039
0.9629 , 151.6081
0.9817 , 152.6444
0.9215 , 147.7733
