AC15-24-400,
X,Y
0.9505 , 250.4060
0.9009 , 248.5036
0.8514 , 248.1998
0.8007 , 247.5766
0.7500 , 246.6337
0.7005 , 246.3299
0.6509 , 246.0260
0.6014 , 245.7222
0.5507 , 245.4187
0.5035 , 244.7944
0.4516 , 243.2125
0.3986 , 242.2704
0.3514 , 241.9658
0.3041 , 241.3415
0.2569 , 239.4384
0.2051 , 236.8974
0.1463 , 234.3587
0.0012 , 166.9498
0.0023 , 183.5735
0.0046 , 190.9257
0.0058 , 195.4011
0.0092 , 199.5560
0.0127 , 206.2684
0.0253 , 213.9370
0.1025 , 232.1348
0.0853 , 229.5828
0.0691 , 227.0304
0.0507 , 223.2000
0.0357 , 218.4094
