AC10-24-400,
X,Y
0.9505 , 216.8382
0.9021 , 216.2143
0.8514 , 215.5911
0.8018 , 215.6069
0.7523 , 215.6228
0.7016 , 215.6390
0.6521 , 215.3351
0.6025 , 215.3509
0.5530 , 214.7274
0.5023 , 214.4239
0.4516 , 213.1613
0.4009 , 212.8579
0.4009 , 212.8579
0.3491 , 212.8744
0.3041 , 211.9297
0.2523 , 210.9872
0.2005 , 210.0447
0.1463 , 208.1439
0.0012 , 158.3181
0.0023 , 170.4661
0.0058 , 176.2195
0.0069 , 181.6539
0.0104 , 186.7679
0.0196 , 190.9209
0.0346 , 195.3919
0.0484 , 198.2647
0.0611 , 200.8182
0.1037 , 205.9196
0.0899 , 204.3256
0.0737 , 203.0520
