AC15-24-400,
X,Y
0.1400 , 233.0577
0.1600 , 234.6968
0.1800 , 235.8170
0.2000 , 236.6290
0.2200 , 237.3800
0.2400 , 238.1118
0.2600 , 238.8167
0.2800 , 239.4939
0.3000 , 240.0837
0.3200 , 240.6268
0.3400 , 241.2859
0.3600 , 241.7943
0.3800 , 242.1456
0.4000 , 242.4588
0.4200 , 242.7829
0.4400 , 243.1634
0.4600 , 243.6474
0.4800 , 244.0378
0.5000 , 244.2858
0.5200 , 244.4722
0.5400 , 244.6654
0.5600 , 244.9527
0.5800 , 245.3791
0.6000 , 245.8036
0.6200 , 246.1202
0.6400 , 246.3135
0.6600 , 246.4654
0.6800 , 246.7307
0.7000 , 247.1634
0.7200 , 247.5667
0.7400 , 247.7720
0.7600 , 247.7919
0.7800 , 247.7186
0.8000 , 247.7549
0.8200 , 247.9731
0.8400 , 248.1826
0.8600 , 248.2638
0.8800 , 248.3865
0.9000 , 248.6553
0.9200 , 249.0949
0.9435 , 249.7688
0.1118 , 231.4925
0.0853 , 228.3040
0.0588 , 224.4762
0.0438 , 219.0462
0.0276 , 213.2969
0.0184 , 207.5453
0.0104 , 199.5556
0.0069 , 192.5235
0.0023 , 187.4098
0.0012 , 180.3770
0.0000 , 169.8275
-0.0012 , 163.7537
