AC5-24-400,
X,Y
0.0800 , 92.0223
0.1000 , 92.7768
0.1200 , 93.1138
0.1400 , 93.5064
0.1600 , 93.8880
0.1800 , 94.1721
0.2000 , 94.2973
0.2200 , 94.4417
0.2400 , 94.6810
0.2600 , 94.9371
0.2800 , 95.1804
0.3000 , 95.3696
0.3200 , 95.5346
0.3400 , 95.7473
0.3600 , 95.6927
0.3800 , 95.5387
0.4000 , 95.4785
0.4200 , 95.5755
0.4400 , 95.7093
0.4600 , 95.7934
0.4800 , 95.8911
0.5000 , 96.1068
0.5200 , 96.2690
0.5400 , 96.3181
0.5600 , 96.2452
0.5800 , 96.0202
0.6000 , 95.8019
0.6200 , 95.7095
0.6400 , 95.7111
0.6600 , 95.7824
0.6800 , 95.8974
0.7000 , 96.0284
0.7200 , 96.0696
0.7400 , 96.0180
0.7600 , 95.9371
0.7800 , 95.8683
0.8000 , 95.8278
0.8200 , 95.8158
0.8400 , 95.8208
0.8600 , 95.8453
0.8800 , 95.9077
0.9000 , 96.0041
0.9200 , 96.1197
0.0012 , 63.3693
0.0012 , 67.2056
0.0012 , 73.9192
0.0023 , 76.7960
0.0069 , 81.5900
0.0138 , 84.7847
0.0242 , 87.0192
0.0380 , 89.2526
0.0507 , 90.5274
0.9424 , 95.6771
