900,
X,Y
0.0329 , 185.6148
0.0518 , 197.7328
0.0691 , 211.3104
0.0915 , 217.8692
0.1130 , 226.8097
0.1347 , 232.5071
0.1560 , 239.3134
0.1782 , 244.8103
0.1995 , 249.8676
0.2194 , 255.8094
0.2426 , 260.6125
0.2616 , 263.4873
0.2839 , 270.1862
0.3057 , 272.3336
0.3268 , 276.2899
0.3483 , 279.4366
0.3681 , 280.6339
0.3926 , 284.5192
0.4119 , 286.0827
0.4341 , 290.4678
0.4548 , 290.9596
0.4771 , 295.8673
0.4990 , 295.6827
0.5200 , 298.4567
0.5428 , 300.1436
0.5621 , 301.4637
0.5844 , 304.6956
0.6046 , 305.2406
0.6274 , 308.7434
0.6492 , 307.7578
0.6703 , 309.4311
0.6931 , 311.3919
0.7124 , 311.3490
0.7347 , 313.3820
0.7549 , 312.8803
0.7776 , 316.7583
0.7995 , 315.8641
0.8203 , 316.7537
0.8434 , 317.9270
0.8635 , 318.9647
0.8850 , 321.4463
0.9052 , 322.1899
0.9276 , 322.4323
0.9498 , 327.0150
0.9727 , 329.1616
0.9911 , 331.0753
