57%,
X,Y
0.0093 , 310.1631
0.0281 , 348.3061
0.0582 , 376.4115
0.0783 , 390.4642
0.0984 , 404.5169
0.1197 , 413.5508
0.1435 , 424.5922
0.1673 , 432.6223
0.1899 , 439.6487
0.2125 , 445.6713
0.2551 , 454.7051
0.3178 , 461.7315
0.3804 , 467.7541
0.4143 , 468.7578
0.4481 , 469.7616
0.4995 , 471.7691
0.5484 , 472.7729
0.5985 , 474.7804
0.6486 , 475.7842
0.6987 , 476.7880
0.7489 , 478.7955
0.7990 , 478.7955
0.8190 , 479.7992
0.8491 , 479.7992
0.8742 , 479.7992
0.8992 , 479.7992
0.9256 , 479.7992
0.9494 , 479.7992
0.9769 , 480.8030
