AC-2,
X,Y
0.9961 , 196.8170
0.9742 , 196.8170
0.9471 , 196.2865
0.9201 , 196.2865
0.8986 , 196.0212
0.8857 , 195.7560
0.8556 , 195.7560
0.8487 , 195.7560
0.8384 , 195.4907
0.7992 , 195.2255
0.7498 , 194.6950
0.7201 , 195.4907
0.6978 , 194.4297
0.6492 , 194.6950
0.5998 , 193.6340
0.5495 , 193.3687
0.4987 , 191.7772
0.4493 , 191.2467
0.3986 , 190.7162
0.3500 , 189.9204
0.0020 , 141.1141
0.0002 , 161.2732
0.0225 , 175.5968
0.0302 , 178.2493
0.0603 , 181.4324
0.0852 , 183.0239
0.1020 , 183.8196
0.1235 , 185.1459
0.1411 , 185.6764
0.1617 , 186.2069
0.1815 , 187.2679
0.2008 , 187.5332
0.2455 , 189.1247
0.3019 , 189.6552
