AC3-NaOH,
X,Y
-0.0001 , 100.4422
0.0005 , 80.0934
-0.0006 , 59.1673
0.0003 , 39.0394
-0.0004 , 19.2813
0.0007 , 2.8480
0.0004 , 121.7943
0.0034 , 140.3115
0.0163 , 158.3990
0.0401 , 166.3520
0.0639 , 170.8063
0.0877 , 174.2685
0.1115 , 176.6475
0.1353 , 177.5445
0.1591 , 179.6542
0.1830 , 181.8206
0.2068 , 185.1715
0.2306 , 185.9409
0.2544 , 187.4898
0.2782 , 189.0083
0.3021 , 189.2512
0.3259 , 191.1342
0.3497 , 192.7742
0.3735 , 194.0498
0.3973 , 195.2443
0.4211 , 196.8843
0.4450 , 199.2330
0.4688 , 201.4601
0.4926 , 202.3712
0.5164 , 204.5275
0.5402 , 206.1979
0.5640 , 207.8986
0.5879 , 210.0853
0.6117 , 211.9683
0.6355 , 214.6004
0.6593 , 217.0098
0.6831 , 220.2088
0.7069 , 223.3065
0.7307 , 227.3478
0.7545 , 231.0866
0.7783 , 237.8236
0.8021 , 242.5695
0.8259 , 250.5994
0.8494 , 260.8367
0.8735 , 274.8916
0.8940 , 287.1562
0.9102 , 303.5306
0.9253 , 318.8980
0.9393 , 333.5814
0.9555 , 347.8278
0.9772 , 363.2283
0.9903 , 375.1792
