2hr-750stC,
X,Y
0.0006 , 103.7320
0.0400 , 108.8134
0.0586 , 110.3267
0.1050 , 112.4310
0.1205 , 113.3811
0.1631 , 114.1751
0.2033 , 115.5261
0.2188 , 116.6628
0.2745 , 117.2849
0.3063 , 117.3205
0.3613 , 118.6880
0.3783 , 118.7071
0.4348 , 119.3300
0.4852 , 119.5730
0.5224 , 120.5474
0.5580 , 120.4007
0.5944 , 120.6280
0.6184 , 121.4012
0.6439 , 121.8029
0.6664 , 121.6415
0.6889 , 121.2935
0.7113 , 122.2515
0.7299 , 122.2723
0.7493 , 121.9208
0.7725 , 122.1334
0.7958 , 121.9729
0.8143 , 122.3668
0.8376 , 122.5794
0.8631 , 122.4214
0.8848 , 123.3785
0.9049 , 124.1473
0.9227 , 124.1673
0.9413 , 124.3746
0.9584 , 124.3937
0.9762 , 125.3465
