850stC-1hr,
X,Y
0.0032 , 143.4485
0.0450 , 161.3042
0.0605 , 162.1688
0.1054 , 166.0038
0.1224 , 167.3644
0.1525 , 169.0939
0.1611 , 169.2158
0.2067 , 170.1970
0.2229 , 171.0615
0.2361 , 172.2989
0.2585 , 172.1693
0.3103 , 173.2731
0.3482 , 174.1321
0.3722 , 175.2428
0.4271 , 176.2217
0.4836 , 177.2003
0.5207 , 177.9355
0.5563 , 178.9192
0.5903 , 179.7793
0.6220 , 179.8955
0.6452 , 180.8823
0.6692 , 180.8763
0.6947 , 181.8625
0.7118 , 182.8509
0.7319 , 182.9699
0.7458 , 183.8350
0.7620 , 183.8310
0.7775 , 184.3234
0.7961 , 184.9391
0.8146 , 185.8030
0.8355 , 186.4182
0.8541 , 186.9098
0.8688 , 187.4025
0.8850 , 188.1429
0.8997 , 188.8836
0.9160 , 189.6240
0.9314 , 190.2405
0.9469 , 190.9811
0.9608 , 191.8461
0.9748 , 192.8352
