AC-10,
X,Y
0.9936 , 565.0931
0.9713 , 563.0834
0.9604 , 561.5791
0.9485 , 560.0742
0.9347 , 560.0673
0.9233 , 560.0616
0.9114 , 559.0564
0.8976 , 558.5498
0.8723 , 558.5372
0.8491 , 558.5256
0.8184 , 556.5117
0.7956 , 555.0014
0.7457 , 552.4782
0.6957 , 552.4532
0.6467 , 549.4309
0.5948 , 544.9082
0.5453 , 540.3866
0.4948 , 533.3664
0.4468 , 522.3503
0.3963 , 510.3336
0.3538 , 494.3238
0.3018 , 471.8139
0.2840 , 462.8114
0.2548 , 448.3072
0.2479 , 444.8062
0.2197 , 427.8043
0.2004 , 417.3021
0.1816 , 405.3013
0.1648 , 395.7997
0.1569 , 390.7993
0.1400 , 379.2991
0.1192 , 365.7983
0.0980 , 349.7991
0.0881 , 342.2995
0.0811 , 335.8007
0.0698 , 326.3018
0.0594 , 316.8034
0.0485 , 306.3055
0.0391 , 295.3086
0.0297 , 282.3132
0.0198 , 266.3197
0.0104 , 241.3328
0.0054 , 218.8464
