AC-7,
X,Y
0.9936 , 689.5043
0.9733 , 685.4970
0.9599 , 681.9928
0.9480 , 680.4880
0.9357 , 680.9814
0.9248 , 676.9788
0.9065 , 679.4679
0.8981 , 673.9676
0.8728 , 672.4561
0.8456 , 667.9457
0.8149 , 665.9318
0.7932 , 662.9231
0.7452 , 655.4044
0.6957 , 645.3869
0.6472 , 631.8723
0.5962 , 610.3621
0.5458 , 582.3569
0.4938 , 551.3531
0.4448 , 518.8518
0.3939 , 486.3495
0.3498 , 461.8450
0.3434 , 456.8454
0.3008 , 432.3416
0.2791 , 418.8404
0.2558 , 406.8373
0.2469 , 400.8371
0.2182 , 385.8335
0.1999 , 376.8308
0.1806 , 365.8290
0.1628 , 355.3276
0.1395 , 342.8249
0.1197 , 331.3232
0.0985 , 315.8236
0.0821 , 306.3223
0.0619 , 291.8225
0.0480 , 280.3238
0.0386 , 269.8266
0.0292 , 260.3286
0.0208 , 247.3337
0.0054 , 203.8571
