AC-4,
X,Y
0.0045 , 202.7907
0.0099 , 218.6047
0.0203 , 236.2791
0.0297 , 249.3023
0.0396 , 259.0698
0.0480 , 266.5116
0.0589 , 275.3488
0.0712 , 284.6512
0.0821 , 290.6977
0.0989 , 302.3256
0.1207 , 315.3488
0.1444 , 328.3721
0.1612 , 335.8140
0.1815 , 345.5814
0.2023 , 354.4186
0.2235 , 362.3256
0.2537 , 371.6279
0.2868 , 381.8605
0.3027 , 385.1163
0.3131 , 387.4419
0.3556 , 395.3488
0.4026 , 403.2558
0.4565 , 409.7674
0.5020 , 413.0233
0.5524 , 414.8837
0.6019 , 416.2791
0.6523 , 416.7442
0.7018 , 417.2093
0.7319 , 418.1395
0.7483 , 415.8140
0.8007 , 419.0698
0.8264 , 418.6047
0.8536 , 420.0000
0.8793 , 420.0000
0.9045 , 420.9302
0.9322 , 421.3953
0.9713 , 423.2558
0.9946 , 424.6512
