AC-5,
X,Y
0.0054 , 172.0930
0.0104 , 186.9767
0.0208 , 202.7907
0.0307 , 213.9535
0.0396 , 221.3953
0.0485 , 228.3721
0.0603 , 238.1395
0.0712 , 243.2558
0.0821 , 252.0930
0.0984 , 260.0000
0.1207 , 271.1628
0.1454 , 282.3256
0.1622 , 289.3023
0.1810 , 297.2093
0.2028 , 304.6512
0.2221 , 312.0930
0.2542 , 321.3953
0.2864 , 329.7674
0.3022 , 333.9535
0.3121 , 336.2791
0.3516 , 343.2558
0.4031 , 352.5581
0.4481 , 360.4651
0.5025 , 365.1163
0.5524 , 366.0465
0.6014 , 366.5116
0.6513 , 367.4419
0.6815 , 367.9070
0.7522 , 368.8372
0.8012 , 369.7674
0.8274 , 369.7674
0.8536 , 370.6977
0.8793 , 371.1628
0.9045 , 371.6279
0.9253 , 370.6977
0.9332 , 371.6279
0.9491 , 371.1628
0.9609 , 372.0930
0.9723 , 373.4884
0.9951 , 375.3488
