AC-2,
X,Y
0.9946 , 436.7442
0.9797 , 436.7442
0.9708 , 435.8140
0.9614 , 434.4186
0.9491 , 433.9535
0.9318 , 433.9535
0.9045 , 433.4884
0.8783 , 432.5581
0.8506 , 431.6279
0.8259 , 431.6279
0.8022 , 430.6977
0.7532 , 429.7674
0.7028 , 428.3721
0.6523 , 426.9767
0.6019 , 426.0465
0.5514 , 423.2558
0.5015 , 422.3256
0.4565 , 418.1395
0.4016 , 411.6279
0.3541 , 404.1860
0.3116 , 396.2791
0.3017 , 394.4186
0.2864 , 389.7674
0.2517 , 381.3953
0.2250 , 372.0930
0.2013 , 365.1163
0.1785 , 356.2791
0.1602 , 347.9070
0.1429 , 340.0000
0.1202 , 328.8372
0.0989 , 315.3488
0.0816 , 306.5116
0.0697 , 298.1395
0.0589 , 289.3023
0.0480 , 279.0698
0.0302 , 261.8605
