AC-6,
X,Y
0.9940 , 308.4862
0.9838 , 308.4862
0.9701 , 307.3394
0.9599 , 306.1927
0.9480 , 305.0459
0.9300 , 306.1927
0.9036 , 306.1927
0.8771 , 305.0459
0.8524 , 305.0459
0.8268 , 305.0459
0.8012 , 305.0459
0.7773 , 305.0459
0.7491 , 305.0459
0.7014 , 303.8991
0.6510 , 305.0459
0.6007 , 305.0459
0.5503 , 303.8991
0.5009 , 303.8991
0.4565 , 300.4587
0.4002 , 298.1651
0.3515 , 297.0183
0.3029 , 295.8716
0.2807 , 293.5780
0.2509 , 292.4312
0.2244 , 291.2844
0.2065 , 290.1376
0.1877 , 287.8440
0.1792 , 286.6972
0.1596 , 284.4037
0.1399 , 280.9633
0.1203 , 278.6697
0.0998 , 271.7890
0.0896 , 268.3486
0.0802 , 263.7615
0.0674 , 258.0275
0.0597 , 253.4404
