AC-9,
X,Y
0.9906 , 891.0550
0.9744 , 886.4679
0.9599 , 884.1743
0.9480 , 878.4404
0.9360 , 873.8532
0.9224 , 870.4128
0.9104 , 866.9725
0.8959 , 862.3853
0.8703 , 849.7706
0.8549 , 840.5963
0.8200 , 814.2202
0.7952 , 790.1376
0.7449 , 727.0642
0.7048 , 673.1651
0.6416 , 603.2110
0.5930 , 557.3394
0.5427 , 518.3486
0.4949 , 485.0917
0.4437 , 456.4220
0.4027 , 433.4862
0.3490 , 407.1101
0.2986 , 385.3211
0.2816 , 375.0000
0.2526 , 363.5321
0.2201 , 346.3303
0.2031 , 340.5963
0.1800 , 332.5688
0.1613 , 324.5413
0.1442 , 316.5138
0.1195 , 303.8991
0.0981 , 290.1376
0.0828 , 280.9633
0.0614 , 267.2018
0.0469 , 255.7339
0.0392 , 246.5596
0.0299 , 240.8257
0.0196 , 228.2110
0.0094 , 207.5688
0.0051 , 188.0734
