AC-7,
X,Y
0.9931 , 689.9931
0.9822 , 686.9822
0.9723 , 684.9723
0.9614 , 682.9614
0.9456 , 679.9456
0.9238 , 675.9238
0.8981 , 674.8981
0.8724 , 671.8724
0.8467 , 668.8467
0.8140 , 665.8140
0.7933 , 662.7933
0.7438 , 655.7438
0.6954 , 645.6954
0.6479 , 631.6479
0.5964 , 610.5964
0.5450 , 582.5450
0.4926 , 553.4926
0.4451 , 517.4451
0.3937 , 487.3937
0.3492 , 460.3492
0.3007 , 432.3007
0.2789 , 419.2789
0.2562 , 407.2562
0.2473 , 402.2473
0.2176 , 385.2176
0.1998 , 376.1998
0.1800 , 365.1800
0.1622 , 355.1622
0.1405 , 343.1405
0.1197 , 330.1197
0.0969 , 316.0969
0.0801 , 305.0801
0.0623 , 292.0623
0.0475 , 279.0475
0.0297 , 259.0297
0.0376 , 269.0376
0.0198 , 247.0198
0.0059 , 204.0059
