AC-3,
X,Y
0.9932 , 487.3853
0.9829 , 486.2385
0.9710 , 485.0917
0.9599 , 482.7982
0.9480 , 482.7982
0.9317 , 483.9450
0.9215 , 482.7982
0.9104 , 481.6514
0.9019 , 481.6514
0.8780 , 480.5046
0.8507 , 480.5046
0.8234 , 479.3578
0.7961 , 477.0642
0.7807 , 479.3578
0.7500 , 478.2110
0.7005 , 478.2110
0.6510 , 474.7706
0.6007 , 472.4771
0.5512 , 470.1835
0.4991 , 467.8899
0.3993 , 454.1284
0.3549 , 444.9541
0.3131 , 436.9266
0.2875 , 428.8991
0.2534 , 416.2844
0.2218 , 403.6697
0.2014 , 396.7890
0.1800 , 385.3211
0.1613 , 375.0000
0.1391 , 364.6789
0.1203 , 353.2110
0.0981 , 339.4495
0.0836 , 329.1284
0.0725 , 321.1009
0.0597 , 311.9266
0.0478 , 300.4587
0.0299 , 282.1101
0.0196 , 268.3486
0.0102 , 246.5596
0.0051 , 228.2110
