AC-3,
X,Y
0.9946 , 488.3721
0.9807 , 486.9767
0.9713 , 486.5116
0.9624 , 484.6512
0.9496 , 484.1860
0.9322 , 484.1860
0.9045 , 483.2558
0.8788 , 482.7907
0.8511 , 480.9302
0.8200 , 478.6047
0.7972 , 478.6047
0.7483 , 476.2791
0.6993 , 474.8837
0.6484 , 473.0233
0.5979 , 471.6279
0.5465 , 467.4419
0.4970 , 465.5814
0.4461 , 460.4651
0.4006 , 455.3488
0.3541 , 446.0465
0.3131 , 436.2791
0.3061 , 434.4186
0.2873 , 427.9070
0.2552 , 417.2093
0.2226 , 404.1860
0.2018 , 395.8140
0.1805 , 386.0465
0.1622 , 377.2093
0.1400 , 364.6512
0.1207 , 353.4884
0.0984 , 340.0000
0.0836 , 329.7674
0.0791 , 325.1163
0.0707 , 320.0000
0.0603 , 312.0930
0.0480 , 300.4651
0.0386 , 291.6279
0.0307 , 282.7907
0.0198 , 268.3721
0.0109 , 247.4419
