AC-1,
X,Y
0.9946 , 348.3721
0.9891 , 348.3721
0.9718 , 347.4419
0.9609 , 346.0465
0.9491 , 345.5814
0.9332 , 345.1163
0.9243 , 344.1860
0.9115 , 344.1860
0.8996 , 342.7907
0.8764 , 343.7209
0.8501 , 344.1860
0.8185 , 340.0000
0.7982 , 340.0000
0.7483 , 338.6047
0.6983 , 337.2093
0.6484 , 335.3488
0.5979 , 333.4884
0.5470 , 330.6977
0.4975 , 329.7674
0.4476 , 326.9767
0.3971 , 324.1860
0.3521 , 322.3256
0.3086 , 319.5349
0.2864 , 316.2791
0.2587 , 312.5581
0.2329 , 310.2326
0.2117 , 306.5116
0.1795 , 305.1163
0.1607 , 300.9302
0.1439 , 296.7442
0.1207 , 290.6977
0.0999 , 280.4651
0.0826 , 275.8140
0.0697 , 267.4419
0.0574 , 264.6512
0.0465 , 254.8837
0.0317 , 243.7209
0.0203 , 232.0930
