AC-7,
X,Y
0.0200 , 239.6075
0.0400 , 264.7964
0.0600 , 286.7123
0.0800 , 299.1750
0.1000 , 313.8207
0.1200 , 327.3428
0.1400 , 337.8162
0.1600 , 349.7003
0.1800 , 362.3541
0.2000 , 375.2015
0.2200 , 387.3111
0.2400 , 396.6687
0.2600 , 409.8117
0.2800 , 419.9366
0.3000 , 428.9049
0.3200 , 442.8299
0.3600 , 467.8693
0.3800 , 480.5189
0.4200 , 505.3926
0.4400 , 513.4493
0.4600 , 526.9873
0.4800 , 542.4900
0.5000 , 556.7669
0.5200 , 569.8532
0.5400 , 578.6415
0.5600 , 591.9752
0.5800 , 601.4262
0.6000 , 611.5468
0.6200 , 620.6557
0.6400 , 628.0970
0.6600 , 635.9896
0.6800 , 641.5414
0.7000 , 646.7590
0.7200 , 652.8106
0.7400 , 658.1296
0.7600 , 662.5360
0.7800 , 666.0852
0.8000 , 668.7807
0.8200 , 670.2933
0.8400 , 671.5160
0.8600 , 675.8236
0.8800 , 678.3125
0.9000 , 678.4792
0.9200 , 678.1587
0.9377 , 677.9377
0.9555 , 680.9555
0.9733 , 684.9733
0.9901 , 687.9901
0.3937 , 486.3937
0.3452 , 458.3452
0.0307 , 257.0307
