AC-7,
X,Y
0.9923 , 688.0734
0.9727 , 684.6330
0.9616 , 682.3394
0.9497 , 681.1927
0.9360 , 680.0459
0.9241 , 677.7523
0.9070 , 677.7523
0.8993 , 674.3119
0.8763 , 674.3119
0.8490 , 669.7248
0.8148 , 665.1376
0.7944 , 662.8440
0.7440 , 654.8165
0.6962 , 644.4954
0.6468 , 630.7339
0.5973 , 610.0917
0.4957 , 551.6055
0.4454 , 518.3486
0.3959 , 486.2385
0.3481 , 459.8624
0.3012 , 431.1927
0.2799 , 418.5780
0.2568 , 405.9633
0.2483 , 400.2294
0.2176 , 385.3211
0.2005 , 375.0000
0.1809 , 365.8257
0.1638 , 354.3578
0.1399 , 340.5963
0.1203 , 329.1284
0.0973 , 316.5138
0.0811 , 305.0459
0.0623 , 291.2844
0.0486 , 278.6697
0.0384 , 269.4954
0.0299 , 259.1743
0.0188 , 245.4128
0.0085 , 224.7706
