V840,
X,Y
0.9649 , 13.7435
0.9401 , 13.6812
0.9089 , 13.5878
0.8836 , 13.5333
0.8568 , 13.4399
0.8296 , 13.3543
0.8038 , 13.2920
0.7780 , 13.2141
0.7487 , 13.1440
0.7224 , 13.0817
0.6942 , 12.9961
0.6635 , 12.9260
0.6387 , 12.8559
0.6109 , 12.8013
0.5827 , 12.7235
0.5545 , 12.6534
0.5287 , 12.5988
0.5014 , 12.5287
0.4702 , 12.4664
0.4235 , 12.3573
0.3952 , 12.2639
0.3675 , 12.2094
0.3368 , 12.1315
0.3091 , 12.0614
0.2969 , 12.0458
0.2579 , 11.9445
0.2170 , 11.7967
0.2039 , 11.7656
0.1795 , 11.6722
0.1688 , 11.6333
0.1284 , 11.4544
0.1157 , 11.4000
0.1050 , 11.3300
0.0929 , 11.2523
0.0841 , 11.1901
0.0782 , 11.1357
0.0700 , 11.0425
0.0515 , 10.8637
0.0427 , 10.7395
0.0320 , 10.5375
0.0276 , 10.4133
0.0198 , 10.2036
0.0144 , 10.0482
0.0125 , 9.9007
0.0090 , 9.6057
0.0037 , 9.0932
0.0031 , 8.5730
0.0026 , 7.6724
0.0021 , 6.8727
