PC3,
X,Y
0.0097 , 374.9536
0.0277 , 416.1410
0.0588 , 447.8664
0.0789 , 461.2245
0.0997 , 473.4694
0.1197 , 481.2616
0.1398 , 487.9406
0.1599 , 493.5065
0.1813 , 499.6289
0.2000 , 502.4119
0.2484 , 511.3173
0.3003 , 517.4397
0.3502 , 523.0056
0.3986 , 526.9017
0.4484 , 530.7978
0.4976 , 533.5807
0.5467 , 536.9202
0.5972 , 540.2597
0.6471 , 542.4861
0.6976 , 545.2690
0.7481 , 548.6085
0.7965 , 550.8349
0.8187 , 553.6178
0.8505 , 555.2876
0.8740 , 558.0705
0.8990 , 560.2968
0.9253 , 563.0798
0.9509 , 566.9759
0.9772 , 574.7681
0.9924 , 587.5696
