PC4,
X,Y
0.0097 , 238.5900
0.0325 , 275.3247
0.0657 , 309.8330
0.0796 , 320.9647
0.1003 , 336.5492
0.1197 , 347.1243
0.1398 , 358.8126
0.1592 , 367.7180
0.1799 , 376.0668
0.1993 , 382.7458
0.2491 , 397.2171
0.3003 , 407.7922
0.3502 , 415.0278
0.3993 , 421.7069
0.4484 , 427.2727
0.4990 , 431.7254
0.5488 , 436.1781
0.5986 , 441.7440
0.6484 , 446.7532
0.6990 , 451.2059
0.7481 , 456.2152
0.7979 , 461.2245
0.8173 , 464.0074
0.8478 , 468.4601
0.8727 , 471.2430
0.8976 , 475.1391
0.9218 , 481.2616
0.9474 , 485.7143
0.9716 , 494.0631
0.9834 , 502.4119
0.9910 , 512.9870
