AdsorptionB,
X,Y
0.9862 , 185.1163
0.9720 , 168.1564
0.9494 , 158.6330
0.9240 , 154.1260
0.9009 , 152.0418
0.8599 , 149.4325
0.7994 , 146.9894
0.6993 , 143.6676
0.6000 , 141.3841
0.4995 , 138.7541
0.3989 , 136.6432
0.3023 , 134.3607
0.2520 , 132.7862
0.2035 , 131.2123
0.1524 , 129.2915
0.1003 , 127.3703
0.0513 , 123.7202
0.0229 , 119.0391
0.0131 , 114.1914
0.0051 , 110.3824
0.0016 , 103.4607
-0.0002 , 92.2145
-0.0011 , 82.0065
-0.0002 , 71.2802
-0.0006 , 61.0725
-0.0006 , 50.5188
-0.0005 , 40.3112
-0.0010 , 30.4495
-0.0014 , 20.4147
-0.0000 , 10.2076
