L275F850,
X,Y
0.9523 , 0.6953
0.8998 , 0.6524
0.7996 , 0.6122
0.6985 , 0.5950
0.5992 , 0.5595
0.4973 , 0.5584
0.3989 , 0.5366
0.2987 , 0.5125
0.2490 , 0.4878
0.1994 , 0.4769
0.1495 , 0.4087
0.0989 , 0.3749
0.0502 , 0.3617
0.0346 , 0.3183
0.0182 , 0.2704
0.0071 , 0.1994
0.0058 , 0.1008
