L285F850,
X,Y
0.9524 , 0.9521
0.9000 , 0.9161
0.8016 , 0.8920
0.6987 , 0.8656
0.5994 , 0.8415
0.4984 , 0.8358
0.3981 , 0.7888
0.2988 , 0.7624
0.2483 , 0.7515
0.1995 , 0.7223
0.1498 , 0.6908
0.0991 , 0.6570
0.0738 , 0.6274
0.0493 , 0.5910
0.0347 , 0.5545
0.0182 , 0.4974
0.0080 , 0.4310
