F300F850,
X,Y
0.9963 , 0.8737
0.9506 , 0.7320
0.9027 , 0.6890
0.8007 , 0.6650
0.7005 , 0.6317
0.5986 , 0.6283
0.5001 , 0.5950
0.3999 , 0.5687
0.2997 , 0.5217
0.2491 , 0.5108
0.1994 , 0.4769
0.1506 , 0.4477
0.1008 , 0.4093
0.0764 , 0.3752
0.0492 , 0.3571
0.0337 , 0.2977
0.0182 , 0.2566
0.0108 , 0.2131
