KUR-BO51-240min,
X,Y
0.2091 , 494.6016
0.1771 , 489.1337
0.1477 , 484.4917
0.1226 , 477.7703
0.1149 , 473.0940
0.1076 , 471.3800
0.1006 , 468.9384
0.0945 , 466.5278
0.0882 , 464.1069
0.0823 , 459.4875
0.0768 , 457.0976
0.0716 , 453.9749
0.0668 , 450.1297
0.0619 , 446.2793
0.0574 , 442.4445
0.0533 , 438.6200
0.0495 , 433.3299
0.0460 , 431.0021
0.0421 , 426.4499
0.0389 , 421.9185
0.0358 , 418.8630
0.0329 , 413.6040
0.0297 , 409.0725
0.0272 , 403.8238
0.0248 , 400.0562
0.0221 , 395.5403
0.0200 , 389.5691
0.0176 , 384.3255
0.0151 , 379.0768
0.0125 , 373.0901
0.0103 , 363.4237
0.0084 , 354.5057
0.0063 , 344.8445
0.0047 , 333.7229
0.0035 , 321.1356
