BO40-120min,
X,Y
0.2132 , 378.1117
0.1815 , 370.3389
0.1504 , 361.6897
0.1214 , 351.3131
0.1119 , 348.4482
0.1029 , 344.7068
0.0937 , 340.9619
0.0850 , 337.2278
0.0768 , 332.6173
0.0687 , 327.1195
0.0610 , 322.5199
0.0539 , 317.9312
0.0464 , 311.5607
0.0399 , 306.9864
0.0338 , 303.3068
0.0280 , 296.0852
0.0227 , 290.6491
0.0183 , 284.3438
0.0142 , 278.0458
0.0105 , 271.7550
0.0078 , 264.5988
0.0056 , 253.9042
0.0036 , 242.3260
0.0022 , 229.8751
0.0017 , 213.8931
0.0013 , 196.1366
0.0008 , 178.3800
0.0006 , 158.8562
