KMR240,
X,Y
0.0103 , 451.1015
0.0300 , 522.9248
0.0592 , 588.1200
0.0782 , 621.2248
0.0989 , 655.2971
0.1196 , 684.5904
0.1398 , 711.9681
0.1600 , 736.4783
0.1820 , 758.1329
0.2505 , 809.2527
0.3145 , 834.0562
0.3711 , 846.8612
0.4096 , 852.8542
0.5001 , 863.9743
0.5503 , 869.5676
0.5999 , 873.7233
0.6501 , 879.3166
0.6998 , 883.4723
0.7506 , 887.6357
0.8002 , 892.7472
0.8200 , 894.7918
0.8492 , 897.8548
0.8738 , 899.4528
0.8989 , 903.4442
0.9245 , 907.4395
0.9478 , 914.7646
0.9723 , 924.4870
0.9822 , 928.3768
0.9898 , 931.7730
