BO56-240min,
X,Y
0.2004 , 490.9768
0.1959 , 488.6520
0.1759 , 485.1454
0.1561 , 480.9130
0.1371 , 475.2432
0.1192 , 468.8760
0.1041 , 460.3978
0.0791 , 445.0547
0.0695 , 438.1992
0.0610 , 431.3770
0.0589 , 429.8541
0.0566 , 427.5958
0.0544 , 425.3376
0.0522 , 423.0841
0.0501 , 420.8306
0.0482 , 418.5818
0.0457 , 414.8577
0.0435 , 412.5994
0.0415 , 409.6201
0.0394 , 407.3666
0.0371 , 403.6472
0.0349 , 400.6584
0.0326 , 397.6696
0.0305 , 393.2243
0.0282 , 390.2355
0.0259 , 385.7855
0.0237 , 381.3355
0.0214 , 377.6161
0.0193 , 373.1709
0.0172 , 367.9951
0.0152 , 362.8240
0.0134 , 358.3883
0.0117 , 352.4914
0.0099 , 345.8639
0.0081 , 339.9670
0.0065 , 331.8831
0.0050 , 324.5345
0.0039 , 315.7343
0.0029 , 306.2083
0.0019 , 296.6822
0.0013 , 285.7045
