KMR-BO34-60min,
X,Y
0.1993 , 291.3776
0.1793 , 292.4031
0.1581 , 290.3836
0.1388 , 288.4087
0.1204 , 286.4582
0.1016 , 284.4955
0.0796 , 280.1933
0.0702 , 278.4578
0.0626 , 276.0128
0.0591 , 275.1735
0.0557 , 275.0923
0.0524 , 274.2570
0.0493 , 273.4299
0.0458 , 272.5905
0.0429 , 271.7674
0.0399 , 270.1861
0.0369 , 268.6048
0.0342 , 267.7857
0.0315 , 266.2125
0.0292 , 263.8933
0.0268 , 262.3282
0.0243 , 260.7591
0.0218 , 259.1899
0.0194 , 257.6248
0.0174 , 255.3137
0.0150 , 252.2404
0.0132 , 249.1792
0.0108 , 246.1058
0.0087 , 242.2823
0.0066 , 238.4630
0.0048 , 233.1393
0.0036 , 224.0612
0.0023 , 214.2249
0.0014 , 202.8925
0.0006 , 191.5601
