KUT-BO26-120min,
X,Y
0.1990 , 243.9930
0.1788 , 243.4040
0.1577 , 242.7865
0.1383 , 240.7600
0.1174 , 240.8778
0.1001 , 238.1826
0.0800 , 236.1324
0.0701 , 235.8426
0.0624 , 234.1582
0.0585 , 233.3136
0.0553 , 233.9492
0.0519 , 232.3883
0.0486 , 231.5627
0.0454 , 230.0065
0.0421 , 229.1809
0.0392 , 228.3649
0.0361 , 227.5440
0.0337 , 227.4728
0.0306 , 226.6519
0.0283 , 226.5854
0.0262 , 225.0625
0.0242 , 223.5444
0.0221 , 222.7520
0.0200 , 220.4985
0.0179 , 218.2450
0.0156 , 216.7174
0.0135 , 214.4639
0.0112 , 212.2056
0.0091 , 209.2216
0.0070 , 205.5069
0.0051 , 201.7970
0.0031 , 198.8177
0.0017 , 193.6609
