KUR360,
X,Y
0.0099 , 377.0177
0.0314 , 442.1620
0.0619 , 495.8952
0.0849 , 531.4169
0.0999 , 552.0687
0.1195 , 578.4866
0.1391 , 602.5151
0.1599 , 627.5071
0.1795 , 651.5356
0.1986 , 672.2147
0.2478 , 720.8160
0.3041 , 768.0304
0.3517 , 799.4152
0.3999 , 824.1132
0.4506 , 840.2244
0.4996 , 849.6331
0.5498 , 854.7485
0.6007 , 857.4783
0.6509 , 861.1599
0.7000 , 862.4442
0.7508 , 864.6961
0.7999 , 865.9804
0.8203 , 866.1172
0.8507 , 867.7543
0.8752 , 869.8302
0.9004 , 870.4762
0.9249 , 871.1184
0.9500 , 871.2865
0.9763 , 872.8962
0.9915 , 874.4316
