150wt.%,
X,Y
0.9950 , 520.5404
0.9767 , 516.2697
0.9483 , 508.5068
0.9252 , 499.1955
0.8960 , 483.2927
0.8475 , 453.8165
0.7973 , 425.5025
0.7488 , 401.8403
0.6990 , 382.4412
0.6497 , 365.3678
0.5995 , 351.7824
0.5459 , 338.1957
0.5005 , 326.9378
0.4756 , 321.5018
0.4503 , 316.4533
0.4254 , 311.0173
0.4015 , 305.1940
0.3748 , 299.3698
0.3648 , 297.0403
0.3391 , 290.8288
0.3103 , 283.8408
0.2500 , 269.0888
0.2034 , 257.4428
0.1772 , 249.2931
0.1514 , 241.5312
0.1257 , 232.9941
0.1004 , 223.2944
0.0807 , 215.1472
0.0580 , 204.2857
0.0388 , 191.4876
