43wt.%,
X,Y
0.9954 , 268.2149
0.9862 , 266.2734
0.9748 , 264.7186
0.9509 , 262.7713
0.9264 , 261.5991
0.9007 , 259.6511
0.8510 , 258.4690
0.8013 , 256.8994
0.7511 , 255.7171
0.7009 , 254.5349
0.6512 , 253.7404
0.6006 , 252.1705
0.5509 , 250.2132
0.5012 , 249.0311
0.4759 , 247.4709
0.4510 , 245.9109
0.4257 , 244.7383
0.4018 , 243.5662
0.3760 , 242.0059
0.3638 , 241.2259
0.3381 , 239.2780
0.3071 , 236.5528
0.2539 , 231.4934
0.2094 , 226.4374
0.1819 , 223.7136
0.1549 , 219.4395
0.1287 , 215.1658
0.1025 , 210.1169
0.0781 , 203.9059
0.0611 , 198.0853
0.0414 , 190.3258
0.0305 , 184.5076
0.0253 , 180.2420
0.0200 , 175.5888
0.0165 , 170.5487
0.0130 , 165.5086
0.0099 , 160.4686
0.0073 , 155.0413
