21wt.%,
X,Y
0.9947 , 148.8348
0.9855 , 147.2809
0.9746 , 146.1138
0.9506 , 144.5542
0.9249 , 143.3814
0.8991 , 142.2086
0.8503 , 141.0269
0.8001 , 139.8447
0.7504 , 138.2750
0.7003 , 137.8680
0.6497 , 137.0732
0.6004 , 136.6665
0.5502 , 135.4842
0.4996 , 134.3018
0.4499 , 133.1198
0.4002 , 130.7749
0.3500 , 129.5927
0.3038 , 127.6368
0.2510 , 124.9032
0.2044 , 122.1719
0.1799 , 120.9996
0.1538 , 119.0515
0.1276 , 117.1034
0.1014 , 114.7677
0.0796 , 112.4336
0.0582 , 110.0998
0.0412 , 106.9924
0.0299 , 103.8872
0.0225 , 101.5588
0.0159 , 98.8430
0.0107 , 93.8022
0.0063 , 84.4982
0.0015 , 75.9692
-0.0003 , 67.0538
