85wt.%,
X,Y
0.9935 , 411.2374
0.9848 , 410.0713
0.9743 , 408.5168
0.9490 , 406.5690
0.9228 , 405.3961
0.8993 , 404.2242
0.8513 , 401.4924
0.8020 , 396.8221
0.7518 , 389.8260
0.7008 , 382.4418
0.6511 , 373.8954
0.6009 , 363.4109
0.5477 , 352.9251
0.5005 , 345.5425
0.4761 , 340.8819
0.4512 , 336.2211
0.4264 , 331.5603
0.4006 , 326.5115
0.3766 , 321.8511
0.3500 , 316.0268
0.3413 , 315.2482
0.3099 , 308.2593
0.2514 , 295.8335
0.2047 , 285.7379
0.1785 , 276.8130
0.1528 , 269.8263
0.1262 , 259.3509
0.1000 , 250.0384
0.0834 , 241.8924
0.0602 , 229.4804
0.0402 , 215.1315
0.0305 , 205.8255
0.0253 , 200.0095
0.0205 , 194.1936
