FileName,Graph Number,Sample Name, S_BET, Total pore volume, Micropore volume
Data23,2,17%BO,662,0.29,0.29
Data23,2,48%BO,1128,0.49,0.49
Data23,2,5%BO,212,0.12,0.11
Data23,2,57%BO,1260,0.55,0.55
Data23,2,7%BO,384,0.20,0.19
Data23,2,16%BO,291,0.18,0.17
Data23,2,26%BO,659,0.30,0.29
Data23,2,36%BO,802,0.36,0.35
Data23,2,53%BO,1035,0.45,0.45
Data23,2,74%BO,1545,0.69,0.68
Data26,1,ACO5,751,0.52,0.10
Data26,1,ACOP1,691,0.56,0.16
Data26,1,ACP1,686,0.33,0.20
Data26,1,CAO,879,0.99,0.16
Data29,2,carbon_A,1190,0.83,0.50
Data29,2,carbon_B,945,0.77,0.38
Data30,1,ACF-15,1430,0.62,0.61
Data30,1,ACF-20,1960,0.94,0.92
Data30,1,ACF-7,780,0.35,0.34
Data30,1,ACF-PAN,690,0.30,0.30
Data34,2,cp-33,28,0.034,0.017
Data34,2,cp-34,33,0.017,0.015
Data34,2,cp-35,68,0.056,0.031
Data34,2,cp-36,71,0.082,0.030
Data34,2,cp-37,86,0.040,0.038
Data37,1,150wt.%,914,0.80,0.32
Data37,1,21wt.%,454,0.22,0.19
Data37,1,43wt.%,837,0.41,0.31
Data37,1,64wt.%,1010,0.55,0.37
Data37,1,85wt.%,1022,0.63,0.37
Data38,1,SK4T-500stC,370,0.25,0.12
Data38,1,SK4T-600stC,760,0.39,0.24
Data38,1,SK4T-800stC,900,0.46,0.3
Data38,1,C7K4T-600stC,490,0.28,0.19
Data38,1,C7K4T-700stC,1250,0.65,0.44
Data38,1,C7K4T-800stC,2200,1.15,0.54
Data38,1,C7K4T-900stC,2410,1.39,0.48
Data38,1,C7K4T-930stC,840,0.54,0.14
Data41,1,as-received,357,0.19,0.14
Data41,1,KPS-1,935,0.39,0.38
Data41,1,KPS-2,1337,0.58,0.50
Data41,1,KPS-4,1947,1.28,0.84
Data42,1,CP55,802,0.639,0.235
Data42,1,CS600,577,0.359,0.203
