4h,
X,Y
0.9906 , 53.9702
0.9790 , 47.5186
0.9691 , 44.5409
0.9597 , 42.6799
0.9448 , 40.4467
0.9233 , 38.5856
0.9002 , 37.4690
0.8698 , 35.7320
0.8456 , 34.7395
0.7954 , 32.6303
0.7507 , 31.6377
0.6955 , 29.9007
0.6531 , 28.2878
0.5957 , 26.7990
0.5483 , 25.8065
0.4997 , 24.5658
0.4446 , 22.9529
0.4004 , 22.2084
0.3436 , 21.0918
0.2984 , 20.2233
0.2725 , 19.7270
0.2477 , 19.2308
0.2217 , 18.4864
0.1991 , 17.7419
0.1743 , 17.3697
0.1495 , 16.8734
0.1236 , 16.1290
0.1042 , 15.7568
0.0756 , 14.7643
0.0502 , 12.2829
0.0408 , 10.0496
0.0353 , 7.9404
