600,
X,Y
0.0478 , 30.2316
0.0783 , 41.4581
0.0966 , 43.4808
0.1196 , 48.8708
0.1471 , 53.4385
0.1712 , 56.0605
0.1947 , 57.4855
0.2211 , 58.4620
0.2486 , 60.0372
0.2709 , 61.0131
0.2956 , 62.2138
0.3448 , 63.3434
0.3975 , 64.6979
0.4468 , 65.9771
0.4961 , 67.7051
0.5453 , 69.2088
0.5969 , 70.1891
0.6479 , 71.6929
0.6983 , 73.0471
0.7470 , 74.1766
0.7951 , 75.0816
0.8501 , 76.2868
0.8719 , 77.2626
0.8971 , 78.2390
0.9211 , 79.6640
0.9475 , 80.5657
0.9613 , 81.9892
0.9699 , 83.1127
0.9808 , 83.7876
0.9905 , 85.8091
