coconut_shells_6h,
X,Y
0.9699 , 188.3168
0.9434 , 177.8898
0.9277 , 173.4940
0.8809 , 168.3517
0.8312 , 165.5987
0.7948 , 164.0994
0.7786 , 163.8520
0.7497 , 163.6079
0.7121 , 163.6173
0.6827 , 163.2476
0.6422 , 163.0064
0.6104 , 162.6372
0.5393 , 162.2780
0.4925 , 161.6612
0.4480 , 161.1696
0.3879 , 160.5562
0.3647 , 160.0591
0.3422 , 159.8134
0.3029 , 159.4462
0.2728 , 158.9509
0.2572 , 158.3263
0.2364 , 157.9544
0.2202 , 157.9585
0.1965 , 157.3359
0.1705 , 156.8396
0.1480 , 155.9653
0.1202 , 154.7152
0.0988 , 153.0864
0.0780 , 148.5662
0.0549 , 140.2753
0.0312 , 128.3391
