KPS-2,
X,Y
0.9949 , 0.3762
0.9893 , 0.3678
0.9809 , 0.3624
0.9705 , 0.3585
0.9600 , 0.3539
0.9503 , 0.3470
0.9405 , 0.3423
0.9294 , 0.3385
0.9203 , 0.3354
0.9106 , 0.3339
0.9008 , 0.3323
0.8778 , 0.3315
0.8534 , 0.3315
0.8353 , 0.3315
0.8165 , 0.3315
0.8040 , 0.3315
0.7858 , 0.3307
0.7538 , 0.3307
0.7287 , 0.3306
0.6959 , 0.3306
0.6499 , 0.3306
0.5970 , 0.3305
0.4973 , 0.3312
0.4778 , 0.3312
0.4583 , 0.3304
0.4325 , 0.3304
0.4263 , 0.3304
0.4067 , 0.3304
0.3942 , 0.3304
0.3886 , 0.3304
0.3761 , 0.3304
0.3628 , 0.3304
0.3573 , 0.3304
0.3433 , 0.3303
0.3384 , 0.3311
0.3238 , 0.3311
0.3189 , 0.3311
0.3057 , 0.3303
0.2994 , 0.3311
0.2890 , 0.3311
0.2792 , 0.3311
0.2695 , 0.3311
0.2597 , 0.3318
0.2492 , 0.3310
0.2395 , 0.3310
0.2297 , 0.3310
0.2200 , 0.3302
0.2088 , 0.3302
0.1998 , 0.3302
0.1900 , 0.3295
0.1796 , 0.3302
0.1691 , 0.3294
0.1594 , 0.3294
0.1496 , 0.3294
0.1398 , 0.3286
0.1301 , 0.3286
0.1203 , 0.3279
0.1106 , 0.3279
0.1001 , 0.3278
0.0897 , 0.3263
0.0799 , 0.3255
0.0702 , 0.3255
0.0597 , 0.3247
0.0493 , 0.3232
0.0416 , 0.3216
0.0332 , 0.3186
0.0249 , 0.3163
0.0158 , 0.3124
0.0095 , 0.3070
0.0047 , 0.2985
0.0019 , 0.2908
-0.0002 , 0.2824
-0.0009 , 0.2732
-0.0016 , 0.2647
-0.0016 , 0.2555
-0.0016 , 0.2455
-0.0009 , 0.2347
-0.0015 , 0.2247
-0.0008 , 0.2147
