KPS-4,
X,Y
0.9876 , 0.8301
0.9862 , 0.8208
0.9855 , 0.8101
0.9806 , 0.8016
0.9820 , 0.7931
0.9799 , 0.7808
0.9772 , 0.7693
0.9744 , 0.7562
0.9723 , 0.7416
0.9695 , 0.7308
0.9674 , 0.7185
0.9661 , 0.7070
0.9626 , 0.6985
0.9605 , 0.6916
0.9556 , 0.6793
0.9528 , 0.6708
0.9438 , 0.6593
0.9347 , 0.6516
0.9292 , 0.6454
0.9194 , 0.6377
0.9097 , 0.6354
0.8992 , 0.6323
0.8790 , 0.6292
0.8588 , 0.6269
0.8407 , 0.6253
0.8198 , 0.6253
0.8086 , 0.6238
0.7898 , 0.6230
0.7598 , 0.6214
0.7299 , 0.6214
0.6992 , 0.6206
0.6497 , 0.6190
0.5996 , 0.6182
0.5494 , 0.6174
0.4999 , 0.6166
0.4797 , 0.6158
0.4602 , 0.6158
0.4400 , 0.6150
0.4281 , 0.6143
0.4191 , 0.6127
0.4086 , 0.6135
0.3989 , 0.6127
0.3891 , 0.6119
0.3794 , 0.6127
0.3689 , 0.6127
0.3592 , 0.6119
0.3487 , 0.6111
0.3389 , 0.6103
0.3292 , 0.6103
0.3194 , 0.6096
0.3090 , 0.6088
0.2992 , 0.6080
0.2888 , 0.6072
0.2797 , 0.6072
0.2693 , 0.6064
0.2588 , 0.6057
0.2491 , 0.6049
0.2393 , 0.6041
0.2302 , 0.6026
0.2205 , 0.6018
0.2107 , 0.6002
0.1996 , 0.5995
0.1849 , 0.5979
0.1724 , 0.5956
0.1522 , 0.5917
0.1431 , 0.5894
0.1327 , 0.5863
0.1222 , 0.5825
0.1132 , 0.5794
0.1034 , 0.5755
0.0944 , 0.5717
0.0839 , 0.5663
0.0735 , 0.5601
0.0651 , 0.5532
0.0602 , 0.5494
0.0561 , 0.5463
0.0505 , 0.5386
0.0442 , 0.5340
0.0394 , 0.5278
0.0345 , 0.5209
0.0289 , 0.5155
0.0247 , 0.5063
0.0206 , 0.4993
0.0178 , 0.4924
0.0150 , 0.4832
0.0115 , 0.4755
0.0101 , 0.4655
0.0080 , 0.4516
0.0067 , 0.4447
0.0060 , 0.4347
0.0053 , 0.4262
0.0032 , 0.4178
0.0025 , 0.4101
0.0018 , 0.4008
