as-received,
X,Y
0.9950 , 0.1224
0.9902 , 0.1208
0.9804 , 0.1208
0.9706 , 0.1185
0.9616 , 0.1154
0.9504 , 0.1123
0.9414 , 0.1085
0.9295 , 0.1062
0.9212 , 0.1039
0.9114 , 0.1023
0.8996 , 0.1008
0.8808 , 0.0984
0.8599 , 0.0984
0.8404 , 0.0969
0.8201 , 0.0969
0.8104 , 0.0961
0.7902 , 0.0961
0.7602 , 0.0945
0.7309 , 0.0953
0.7010 , 0.0945
0.6508 , 0.0944
0.6013 , 0.0944
0.5512 , 0.0943
0.5003 , 0.0943
0.4801 , 0.0943
0.4613 , 0.0935
0.4383 , 0.0935
0.4306 , 0.0935
0.4194 , 0.0935
0.4111 , 0.0935
0.3992 , 0.0935
0.3902 , 0.0927
0.3818 , 0.0927
0.3735 , 0.0927
0.3616 , 0.0927
0.3519 , 0.0927
0.3414 , 0.0919
0.3309 , 0.0919
0.3219 , 0.0919
0.3107 , 0.0919
0.3003 , 0.0918
0.2905 , 0.0918
0.2808 , 0.0911
0.2717 , 0.0911
0.2613 , 0.0903
0.2515 , 0.0903
0.2411 , 0.0903
0.2313 , 0.0903
0.2215 , 0.0902
0.2111 , 0.0902
0.1999 , 0.0902
0.1902 , 0.0902
0.1797 , 0.0902
0.1707 , 0.0902
0.1602 , 0.0902
0.1512 , 0.0902
0.1400 , 0.0886
0.1309 , 0.0886
0.1212 , 0.0886
0.1121 , 0.0879
0.1024 , 0.0886
0.0912 , 0.0878
0.0815 , 0.0871
0.0724 , 0.0871
0.0627 , 0.0870
0.0522 , 0.0870
0.0452 , 0.0870
0.0397 , 0.0847
0.0313 , 0.0839
0.0243 , 0.0839
0.0181 , 0.0832
0.0048 , 0.0793
0.0006 , 0.0739
-0.0007 , 0.0632
-0.0007 , 0.0532
-0.0007 , 0.0455
-0.0007 , 0.0385
-0.0007 , 0.0278
-0.0007 , 0.0201
-0.0007 , 0.0085
