700AC,
X,Y
0.0400 , 43.5160
0.0600 , 43.7036
0.0800 , 44.4361
0.1000 , 44.3948
0.1200 , 44.5950
0.1400 , 44.9712
0.1600 , 45.1249
0.1800 , 45.3596
0.2000 , 45.4758
0.2200 , 45.6190
0.2400 , 45.9165
0.2600 , 46.1350
0.2800 , 46.3746
0.3000 , 46.5732
0.3200 , 46.7891
0.3400 , 47.0248
0.3600 , 47.3241
0.3800 , 47.4125
0.4000 , 47.2734
0.4200 , 47.2800
0.4400 , 47.2454
0.4600 , 47.4172
0.4800 , 47.4474
0.5000 , 47.4818
0.5200 , 47.6952
0.5400 , 48.0425
0.5600 , 48.4136
0.5800 , 48.3367
0.6000 , 48.0810
0.6200 , 47.8757
0.6400 , 47.8760
0.6600 , 48.0815
0.6800 , 48.1295
0.7000 , 48.1998
0.7200 , 48.2644
0.7400 , 48.0911
0.7600 , 48.1497
0.7800 , 48.3118
0.8000 , 48.4727
0.8200 , 48.5497
0.8400 , 48.5116
0.8600 , 48.6755
0.8800 , 48.6543
0.9000 , 48.7587
0.0267 , 42.5174
0.0135 , 40.6962
0.0056 , 37.7399
0.0029 , 34.3302
0.0029 , 30.4666
0.0002 , 25.9205
0.0015 , 17.9662
0.0001 , 10.4659
0.0001 , 6.6023
0.0013 , 1.8298
0.9913 , 57.9639
0.9860 , 53.1900
0.9702 , 50.9137
0.9346 , 49.3147
