NC700-2-1.5,
X,Y
0.0800 , 94.3705
0.1000 , 95.4303
0.1200 , 96.1231
0.1400 , 96.8420
0.1600 , 97.3103
0.1800 , 97.6587
0.2000 , 97.9730
0.2200 , 98.0835
0.2400 , 98.4883
0.2600 , 98.7790
0.2800 , 99.0758
0.3000 , 99.4055
0.3200 , 99.5970
0.3400 , 99.7539
0.3600 , 99.9175
0.3800 , 99.9553
0.4000 , 100.1528
0.4200 , 100.3957
0.4400 , 100.4073
0.4600 , 100.7286
0.4800 , 100.7709
0.5000 , 100.8315
0.5200 , 100.7300
0.5400 , 100.5214
0.5600 , 100.8139
0.5800 , 100.8374
0.6000 , 100.8387
0.6200 , 100.9879
0.6400 , 101.1082
0.6600 , 101.3251
0.6800 , 101.3852
0.7000 , 101.3642
0.7200 , 101.3348
0.7400 , 101.3597
0.7600 , 101.5604
0.7800 , 101.6097
0.8000 , 101.7720
0.8200 , 102.0146
0.8400 , 102.0557
0.8600 , 102.2197
0.8800 , 102.3311
0.9000 , 102.5788
0.9200 , 102.8715
0.9400 , 103.2257
0.9600 , 104.8656
0.9800 , 109.3787
0.0284 , 91.1542
0.0165 , 87.9697
0.0060 , 84.3309
0.0020 , 80.0118
0.0033 , 76.6030
0.0468 , 92.9765
