200AC,
X,Y
0.0000 , 68.3450
0.0200 , 98.0988
0.0400 , 102.3473
0.0600 , 103.3126
0.0800 , 104.2565
0.1000 , 106.0881
0.1200 , 106.4542
0.1400 , 107.6513
0.1600 , 108.2357
0.1800 , 108.7078
0.2000 , 108.8097
0.2200 , 108.7115
0.2400 , 108.7715
0.2600 , 109.2384
0.2800 , 109.9254
0.3000 , 110.0953
0.3200 , 110.6709
0.3400 , 110.2933
0.3600 , 111.0542
0.3800 , 111.1870
0.4000 , 111.8432
0.4200 , 111.5907
0.4400 , 111.2045
0.4600 , 111.7396
0.4800 , 111.6517
0.5000 , 111.9666
0.5200 , 111.8114
0.5400 , 111.9238
0.5600 , 112.0044
0.5800 , 112.0013
0.6000 , 112.1950
0.6200 , 112.3849
0.6400 , 112.7811
0.6600 , 112.5761
0.6800 , 112.8577
0.7000 , 112.6214
0.7200 , 112.8661
0.7400 , 113.4727
0.7600 , 113.1474
0.7800 , 113.2804
0.8000 , 113.3247
0.8200 , 113.5286
0.8400 , 114.0939
0.8600 , 113.7203
0.8800 , 113.9083
0.9000 , 114.1050
0.9200 , 114.2868
0.9400 , 114.6789
0.9600 , 116.1237
0.9800 , 118.1551
0.0113 , 95.2412
0.0258 , 100.6991
0.0087 , 92.2861
0.0060 , 88.1945
0.0033 , 84.3303
0.0020 , 80.4664
-0.0007 , 76.6021
0.0006 , 72.9660
0.0005 , 64.1024
0.0018 , 60.6936
0.0005 , 57.0569
0.0004 , 53.1933
0.0030 , 48.8757
0.0017 , 46.3754
-0.0010 , 40.2384
0.0003 , 36.8296
0.0016 , 33.6481
-0.0024 , 29.5563
-0.0024 , 25.4654
0.0015 , 21.1481
0.0001 , 17.0569
