700AC,
X,Y
0.9913 , 57.9639
0.9846 , 53.4170
0.9702 , 50.9137
0.9346 , 49.7692
0.8872 , 49.0766
0.8359 , 48.8377
0.7899 , 48.6000
0.7359 , 48.3604
0.6912 , 48.3503
0.6372 , 48.1107
0.5912 , 48.1003
0.5372 , 47.8607
0.4885 , 47.6224
0.4425 , 47.3847
0.3872 , 47.1448
0.3872 , 47.1448
0.3385 , 46.9065
0.3017 , 46.8981
0.2833 , 46.8939
0.2635 , 46.4349
0.2425 , 46.4301
0.2214 , 46.1981
0.2017 , 46.1936
0.1846 , 45.9624
0.1662 , 45.5037
0.1438 , 45.4986
0.1227 , 45.2665
0.1043 , 45.0351
0.0819 , 44.5754
0.0543 , 44.3419
0.0293 , 43.4271
0.0109 , 40.6957
0.0043 , 37.9669
0.0016 , 34.3299
0.0003 , 30.4660
0.0002 , 26.6023
0.0001 , 18.1932
0.0001 , 10.6932
0.0001 , 6.3750
-0.0013 , 2.2838
