b,
X,Y
0.9936 , 195.5411
0.9923 , 191.4342
0.9891 , 188.3833
0.9833 , 185.2151
0.9794 , 183.1030
0.9743 , 181.6949
0.9685 , 180.1695
0.9582 , 178.4094
0.9472 , 177.1186
0.9382 , 176.4146
0.9285 , 175.5932
0.9182 , 175.0065
0.9085 , 174.4198
0.8976 , 174.0678
0.8860 , 173.5984
0.8737 , 173.1291
0.8615 , 172.8944
0.8486 , 172.5424
0.8363 , 172.0730
0.8241 , 171.9557
0.8112 , 171.6037
0.7983 , 171.3690
0.7860 , 171.2516
0.7738 , 170.8996
0.7609 , 170.5476
0.7487 , 170.4302
0.7364 , 170.1956
0.7235 , 169.9609
0.7106 , 169.7262
0.6984 , 169.4915
0.6861 , 169.2568
0.6732 , 169.0222
0.6610 , 168.9048
0.6487 , 168.5528
0.6365 , 168.3181
0.6242 , 168.0834
0.6113 , 167.8488
0.5997 , 167.4967
0.5746 , 167.0274
0.5494 , 166.4407
0.5237 , 165.8540
0.4992 , 165.2673
0.4734 , 164.6806
0.4502 , 164.0939
0.4244 , 163.2725
0.3986 , 162.5684
0.3747 , 161.8644
0.3528 , 160.8083
0.3277 , 160.1043
0.3025 , 159.0482
0.2774 , 158.2269
0.2548 , 157.2881
0.2316 , 156.1147
0.2078 , 154.9413
0.1826 , 153.2986
0.1568 , 151.7731
0.1278 , 149.6610
0.1046 , 147.7836
0.0756 , 144.6154
0.0492 , 141.2125
0.0395 , 139.3351
0.0286 , 136.9883
0.0196 , 134.4068
0.0112 , 131.1213
0.0080 , 128.8918
0.0035 , 120.2086
0.0022 , 114.9283
-0.0003 , 107.4185
