f5_1,
X,Y
-0.0003 , 241.5258
0.0020 , 257.9954
0.0042 , 275.0667
0.0008 , 247.7644
0.0090 , 302.4359
0.0029 , 266.0849
0.0051 , 284.4054
0.0073 , 294.1903
0.0192 , 316.4548
0.0138 , 308.4719
0.0301 , 324.5810
0.0387 , 330.6751
0.0507 , 337.3991
0.0637 , 343.6140
0.0789 , 348.9898
0.0962 , 354.3796
0.1150 , 359.4981
0.1409 , 364.3437
0.1704 , 368.9064
0.1986 , 372.6047
0.2262 , 374.4812
0.2560 , 376.5347
0.2827 , 377.9395
0.3111 , 378.7277
0.3393 , 379.5792
0.3677 , 380.0098
0.3946 , 380.9004
0.4261 , 381.9220
0.4564 , 382.3056
0.4844 , 382.7835
0.5131 , 382.8024
0.5425 , 383.2714
0.5739 , 383.5820
0.6062 , 384.0739
0.6344 , 384.4102
0.6606 , 384.2787
0.6921 , 384.6686
0.7186 , 385.2723
0.7472 , 385.6006
0.7754 , 385.8942
0.8036 , 386.3159
0.8318 , 386.8743
0.8600 , 387.4214
0.8882 , 387.5479
0.9165 , 388.2915
0.9447 , 389.0939
0.9729 , 390.0131
0.9924 , 390.7129
